date,category,value
2024/1/1 0:00,Biomass,106.1
2024/1/1 0:00,Fossil Brown Coal/Lignite,13.4
2024/1/1 0:00,Fossil Gas,101.6
2024/1/1 0:00,Fossil Hard Coal,0.0
2024/1/1 0:00,Fossil Oil,48.8
2024/1/1 0:00,Hydro Pumped Storage,15.7
2024/1/1 0:00,Hydro Run-of-river and Poundage,754.3
2024/1/1 0:00,Hydro Water Reservoir,49.2
2024/1/1 0:00,Nuclear,2428.1
2024/1/1 0:00,Other,117.8
2024/1/1 0:00,Other Renewable,55.4
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Wind,0.3
2024/1/1 1:00,Biomass,106.4
2024/1/1 1:00,Fossil Brown Coal/Lignite,13.1
2024/1/1 1:00,Fossil Gas,100.1
2024/1/1 1:00,Fossil Hard Coal,0.0
2024/1/1 1:00,Fossil Oil,49.1
2024/1/1 1:00,Hydro Pumped Storage,99.8
2024/1/1 1:00,Hydro Run-of-river and Poundage,709.8
2024/1/1 1:00,Hydro Water Reservoir,21.3
2024/1/1 1:00,Nuclear,2431.0
2024/1/1 1:00,Other,119.9
2024/1/1 1:00,Other Renewable,55.1
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Wind,0.2
2024/1/1 2:00,Biomass,107.1
2024/1/1 2:00,Fossil Brown Coal/Lignite,13.1
2024/1/1 2:00,Fossil Gas,99.6
2024/1/1 2:00,Fossil Hard Coal,0.0
2024/1/1 2:00,Fossil Oil,49.2
2024/1/1 2:00,Hydro Pumped Storage,300.3
2024/1/1 2:00,Hydro Run-of-river and Poundage,651.5
2024/1/1 2:00,Hydro Water Reservoir,20.7
2024/1/1 2:00,Nuclear,2435.2
2024/1/1 2:00,Other,120.4
2024/1/1 2:00,Other Renewable,55.4
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Wind,0.2
2024/1/1 3:00,Biomass,106.8
2024/1/1 3:00,Fossil Brown Coal/Lignite,12.9
2024/1/1 3:00,Fossil Gas,96.8
2024/1/1 3:00,Fossil Hard Coal,0.0
2024/1/1 3:00,Fossil Oil,49.0
2024/1/1 3:00,Hydro Pumped Storage,304.9
2024/1/1 3:00,Hydro Run-of-river and Poundage,613.0
2024/1/1 3:00,Hydro Water Reservoir,19.5
2024/1/1 3:00,Nuclear,2437.6
2024/1/1 3:00,Other,120.5
2024/1/1 3:00,Other Renewable,54.9
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Wind,0.5
2024/1/1 4:00,Biomass,109.1
2024/1/1 4:00,Fossil Brown Coal/Lignite,13.8
2024/1/1 4:00,Fossil Gas,104.2
2024/1/1 4:00,Fossil Hard Coal,0.0
2024/1/1 4:00,Fossil Oil,49.4
2024/1/1 4:00,Hydro Pumped Storage,308.8
2024/1/1 4:00,Hydro Run-of-river and Poundage,627.0
2024/1/1 4:00,Hydro Water Reservoir,19.7
2024/1/1 4:00,Nuclear,2435.8
2024/1/1 4:00,Other,121.4
2024/1/1 4:00,Other Renewable,54.5
2024/1/1 4:00,Solar,0.0
2024/1/1 4:00,Wind,0.7
2024/1/1 5:00,Biomass,108.1
2024/1/1 5:00,Fossil Brown Coal/Lignite,13.7
2024/1/1 5:00,Fossil Gas,107.8
2024/1/1 5:00,Fossil Hard Coal,0.0
2024/1/1 5:00,Fossil Oil,50.5
2024/1/1 5:00,Hydro Pumped Storage,312.9
2024/1/1 5:00,Hydro Run-of-river and Poundage,626.8
2024/1/1 5:00,Hydro Water Reservoir,19.6
2024/1/1 5:00,Nuclear,2441.6
2024/1/1 5:00,Other,123.6
2024/1/1 5:00,Other Renewable,54.4
2024/1/1 5:00,Solar,0.0
2024/1/1 5:00,Wind,0.7
2024/1/1 6:00,Biomass,108.5
2024/1/1 6:00,Fossil Brown Coal/Lignite,13.0
2024/1/1 6:00,Fossil Gas,101.5
2024/1/1 6:00,Fossil Hard Coal,0.0
2024/1/1 6:00,Fossil Oil,50.6
2024/1/1 6:00,Hydro Pumped Storage,29.6
2024/1/1 6:00,Hydro Run-of-river and Poundage,701.9
2024/1/1 6:00,Hydro Water Reservoir,27.5
2024/1/1 6:00,Nuclear,2445.4
2024/1/1 6:00,Other,123.4
2024/1/1 6:00,Other Renewable,54.9
2024/1/1 6:00,Solar,0.0
2024/1/1 6:00,Wind,0.9
2024/1/1 7:00,Biomass,108.5
2024/1/1 7:00,Fossil Brown Coal/Lignite,12.3
2024/1/1 7:00,Fossil Gas,93.0
2024/1/1 7:00,Fossil Hard Coal,0.0
2024/1/1 7:00,Fossil Oil,50.4
2024/1/1 7:00,Hydro Pumped Storage,111.1
2024/1/1 7:00,Hydro Run-of-river and Poundage,717.7
2024/1/1 7:00,Hydro Water Reservoir,27.5
2024/1/1 7:00,Nuclear,2448.8
2024/1/1 7:00,Other,122.6
2024/1/1 7:00,Other Renewable,53.8
2024/1/1 7:00,Solar,0.4
2024/1/1 7:00,Wind,0.8
2024/1/1 8:00,Biomass,106.3
2024/1/1 8:00,Fossil Brown Coal/Lignite,12.8
2024/1/1 8:00,Fossil Gas,99.2
2024/1/1 8:00,Fossil Hard Coal,0.0
2024/1/1 8:00,Fossil Oil,50.1
2024/1/1 8:00,Hydro Pumped Storage,83.3
2024/1/1 8:00,Hydro Run-of-river and Poundage,737.0
2024/1/1 8:00,Hydro Water Reservoir,55.5
2024/1/1 8:00,Nuclear,2446.2
2024/1/1 8:00,Other,122.1
2024/1/1 8:00,Other Renewable,53.4
2024/1/1 8:00,Solar,1.3
2024/1/1 8:00,Wind,0.7
2024/1/1 9:00,Biomass,107.8
2024/1/1 9:00,Fossil Brown Coal/Lignite,14.0
2024/1/1 9:00,Fossil Gas,111.7
2024/1/1 9:00,Fossil Hard Coal,0.0
2024/1/1 9:00,Fossil Oil,50.1
2024/1/1 9:00,Hydro Pumped Storage,19.7
2024/1/1 9:00,Hydro Run-of-river and Poundage,774.3
2024/1/1 9:00,Hydro Water Reservoir,65.1
2024/1/1 9:00,Nuclear,2440.4
2024/1/1 9:00,Other,122.6
2024/1/1 9:00,Other Renewable,55.1
2024/1/1 9:00,Solar,7.2
2024/1/1 9:00,Wind,0.4
2024/1/1 10:00,Biomass,106.8
2024/1/1 10:00,Fossil Brown Coal/Lignite,14.1
2024/1/1 10:00,Fossil Gas,113.5
2024/1/1 10:00,Fossil Hard Coal,0.0
2024/1/1 10:00,Fossil Oil,50.0
2024/1/1 10:00,Hydro Pumped Storage,22.4
2024/1/1 10:00,Hydro Run-of-river and Poundage,779.1
2024/1/1 10:00,Hydro Water Reservoir,67.6
2024/1/1 10:00,Nuclear,2439.6
2024/1/1 10:00,Other,122.5
2024/1/1 10:00,Other Renewable,52.5
2024/1/1 10:00,Solar,22.1
2024/1/1 10:00,Wind,0.5
2024/1/1 11:00,Biomass,107.3
2024/1/1 11:00,Fossil Brown Coal/Lignite,13.6
2024/1/1 11:00,Fossil Gas,111.1
2024/1/1 11:00,Fossil Hard Coal,0.0
2024/1/1 11:00,Fossil Oil,49.8
2024/1/1 11:00,Hydro Pumped Storage,1.7
2024/1/1 11:00,Hydro Run-of-river and Poundage,773.6
2024/1/1 11:00,Hydro Water Reservoir,36.0
2024/1/1 11:00,Nuclear,2440.6
2024/1/1 11:00,Other,123.0
2024/1/1 11:00,Other Renewable,52.8
2024/1/1 11:00,Solar,61.6
2024/1/1 11:00,Wind,0.6
2024/1/1 12:00,Biomass,107.5
2024/1/1 12:00,Fossil Brown Coal/Lignite,12.5
2024/1/1 12:00,Fossil Gas,100.1
2024/1/1 12:00,Fossil Hard Coal,0.0
2024/1/1 12:00,Fossil Oil,49.6
2024/1/1 12:00,Hydro Pumped Storage,2.1
2024/1/1 12:00,Hydro Run-of-river and Poundage,755.5
2024/1/1 12:00,Hydro Water Reservoir,35.5
2024/1/1 12:00,Nuclear,2440.5
2024/1/1 12:00,Other,123.5
2024/1/1 12:00,Other Renewable,51.3
2024/1/1 12:00,Solar,119.4
2024/1/1 12:00,Wind,0.7
2024/1/1 13:00,Biomass,106.4
2024/1/1 13:00,Fossil Brown Coal/Lignite,13.7
2024/1/1 13:00,Fossil Gas,112.8
2024/1/1 13:00,Fossil Hard Coal,0.0
2024/1/1 13:00,Fossil Oil,49.7
2024/1/1 13:00,Hydro Pumped Storage,2.3
2024/1/1 13:00,Hydro Run-of-river and Poundage,790.7
2024/1/1 13:00,Hydro Water Reservoir,36.1
2024/1/1 13:00,Nuclear,2435.0
2024/1/1 13:00,Other,122.7
2024/1/1 13:00,Other Renewable,53.0
2024/1/1 13:00,Solar,94.6
2024/1/1 13:00,Wind,1.0
2024/1/1 14:00,Biomass,103.7
2024/1/1 14:00,Fossil Brown Coal/Lignite,14.0
2024/1/1 14:00,Fossil Gas,117.5
2024/1/1 14:00,Fossil Hard Coal,0.0
2024/1/1 14:00,Fossil Oil,49.5
2024/1/1 14:00,Hydro Pumped Storage,11.1
2024/1/1 14:00,Hydro Run-of-river and Poundage,841.1
2024/1/1 14:00,Hydro Water Reservoir,53.9
2024/1/1 14:00,Nuclear,2433.9
2024/1/1 14:00,Other,124.4
2024/1/1 14:00,Other Renewable,53.5
2024/1/1 14:00,Solar,52.9
2024/1/1 14:00,Wind,1.0
2024/1/1 15:00,Biomass,106.1
2024/1/1 15:00,Fossil Brown Coal/Lignite,14.2
2024/1/1 15:00,Fossil Gas,137.0
2024/1/1 15:00,Fossil Hard Coal,0.0
2024/1/1 15:00,Fossil Oil,49.7
2024/1/1 15:00,Hydro Pumped Storage,35.8
2024/1/1 15:00,Hydro Run-of-river and Poundage,885.5
2024/1/1 15:00,Hydro Water Reservoir,82.2
2024/1/1 15:00,Nuclear,2432.2
2024/1/1 15:00,Other,125.7
2024/1/1 15:00,Other Renewable,53.9
2024/1/1 15:00,Solar,12.1
2024/1/1 15:00,Wind,0.9
2024/1/1 16:00,Biomass,110.7
2024/1/1 16:00,Fossil Brown Coal/Lignite,14.0
2024/1/1 16:00,Fossil Gas,130.7
2024/1/1 16:00,Fossil Hard Coal,0.0
2024/1/1 16:00,Fossil Oil,49.6
2024/1/1 16:00,Hydro Pumped Storage,295.0
2024/1/1 16:00,Hydro Run-of-river and Poundage,877.8
2024/1/1 16:00,Hydro Water Reservoir,78.2
2024/1/1 16:00,Nuclear,2431.3
2024/1/1 16:00,Other,122.2
2024/1/1 16:00,Other Renewable,53.5
2024/1/1 16:00,Solar,0.1
2024/1/1 16:00,Wind,1.1
2024/1/1 17:00,Biomass,112.0
2024/1/1 17:00,Fossil Brown Coal/Lignite,13.5
2024/1/1 17:00,Fossil Gas,122.1
2024/1/1 17:00,Fossil Hard Coal,0.0
2024/1/1 17:00,Fossil Oil,49.4
2024/1/1 17:00,Hydro Pumped Storage,333.7
2024/1/1 17:00,Hydro Run-of-river and Poundage,855.1
2024/1/1 17:00,Hydro Water Reservoir,115.2
2024/1/1 17:00,Nuclear,2435.4
2024/1/1 17:00,Other,120.3
2024/1/1 17:00,Other Renewable,52.2
2024/1/1 17:00,Solar,0.0
2024/1/1 17:00,Wind,1.0
2024/1/1 18:00,Biomass,113.3
2024/1/1 18:00,Fossil Brown Coal/Lignite,14.0
2024/1/1 18:00,Fossil Gas,129.1
2024/1/1 18:00,Fossil Hard Coal,0.0
2024/1/1 18:00,Fossil Oil,49.0
2024/1/1 18:00,Hydro Pumped Storage,419.5
2024/1/1 18:00,Hydro Run-of-river and Poundage,868.7
2024/1/1 18:00,Hydro Water Reservoir,128.7
2024/1/1 18:00,Nuclear,2434.4
2024/1/1 18:00,Other,122.2
2024/1/1 18:00,Other Renewable,52.7
