Year,Month,Country,Production Type,Installed Capacity (MW),Total Grand Capacity (MW)
2023,,RO,Biomass,118,
2023,,RO,Energy storage,n/e,
2023,,RO,Fossil Brown coal/Lignite,2497,
2023,,RO,Fossil Coal-derived gas,n/e,
2023,,RO,Fossil Gas,1988,
2023,,RO,Fossil Hard coal,176,
2023,,RO,Fossil Oil,n/e,
2023,,RO,Fossil Oil shale,n/e,
2023,,RO,Fossil Peat,n/e,
2023,,RO,Geothermal,n/e,
2023,,RO,Hydro Pumped Storage,n/e,
2023,,RO,Hydro Run-of-river and pondage,2780,
2023,,RO,Hydro Water Reservoir,3356,
2023,,RO,Marine,n/e,
2023,,RO,Nuclear,1300,
2023,,RO,Other,n/e,
2023,,RO,Other renewable,n/e,
2023,,RO,Solar,1185,
2023,,RO,Waste,n/e,
2023,,RO,Wind Offshore,n/e,
2023,,RO,Wind Onshore,2957,
2023,,RO,,,16357
2024,,RO,Biomass,118,
2024,,RO,Energy storage,n/e,
2024,,RO,Fossil Brown coal/Lignite,1733,
2024,,RO,Fossil Coal-derived gas,n/e,
2024,,RO,Fossil Gas,2238,
2024,,RO,Fossil Hard coal,176,
2024,,RO,Fossil Oil,n/e,
2024,,RO,Fossil Oil shale,n/e,
2024,,RO,Fossil Peat,n/e,
2024,,RO,Geothermal,n/e,
2024,,RO,Hydro Pumped Storage,n/e,
2024,,RO,Hydro Run-of-river and pondage,2780,
2024,,RO,Hydro Water Reservoir,3359,
2024,,RO,Marine,n/e,
2024,,RO,Nuclear,1300,
2024,,RO,Other,n/e,
2024,,RO,Other renewable,n/e,
2024,,RO,Solar,1293,
2024,,RO,Waste,n/e,
2024,,RO,Wind Offshore,n/e,
2024,,RO,Wind Onshore,2958,
2024,,RO,,,15955
2025,,RO,Biomass,119,
2025,,RO,Energy storage,137,
2025,,RO,Fossil Brown coal/Lignite,2027,
2025,,RO,Fossil Coal-derived gas,n/e,
2025,,RO,Fossil Gas,2179,
2025,,RO,Fossil Hard coal,135,
2025,,RO,Fossil Oil,n/e,
2025,,RO,Fossil Oil shale,n/e,
2025,,RO,Fossil Peat,n/e,
2025,,RO,Geothermal,n/e,
2025,,RO,Hydro Pumped Storage,n/e,
2025,,RO,Hydro Run-of-river and pondage,2780,
2025,,RO,Hydro Water Reservoir,3352,
2025,,RO,Marine,n/e,
2025,,RO,Nuclear,1300,
2025,,RO,Other,n/e,
2025,,RO,Other renewable,n/e,
2025,,RO,Solar,1588,
2025,,RO,Waste,n/e,
2025,,RO,Wind Offshore,n/e,
2025,,RO,Wind Onshore,3027,
2025,,RO,,,16644
2023,,RS,Biomass,2.38,
2023,,RS,Energy storage,n/e,
2023,,RS,Fossil Brown coal/Lignite,6010.5,
2023,,RS,Fossil Coal-derived gas,n/e,
2023,,RS,Fossil Gas,608.11,
2023,,RS,Fossil Hard coal,n/e,
2023,,RS,Fossil Oil,n/e,
2023,,RS,Fossil Oil shale,n/e,
2023,,RS,Fossil Peat,n/e,
2023,,RS,Geothermal,n/e,
2023,,RS,Hydro Pumped Storage,642,
2023,,RS,Hydro Run-of-river and pondage,2048.76,
2023,,RS,Hydro Water Reservoir,487.15,
2023,,RS,Marine,n/e,
2023,,RS,Nuclear,n/e,
2023,,RS,Other,34.64,
2023,,RS,Other renewable,n/e,
2023,,RS,Solar,2.9,
2023,,RS,Waste,32.4,
2023,,RS,Wind Offshore,n/e,
2023,,RS,Wind Onshore,533.32,
2023,,RS,,,10402.16
2024,,RS,Biomass,2.38,
2024,,RS,Energy storage,n/e,
2024,,RS,Fossil Brown coal/Lignite,6010.5,
2024,,RS,Fossil Coal-derived gas,n/e,
2024,,RS,Fossil Gas,606.71,
2024,,RS,Fossil Hard coal,n/e,
2024,,RS,Fossil Oil,n/e,
2024,,RS,Fossil Oil shale,n/e,
2024,,RS,Fossil Peat,n/e,
2024,,RS,Geothermal,n/e,
2024,,RS,Hydro Pumped Storage,642,
2024,,RS,Hydro Run-of-river and pondage,2053.11,
2024,,RS,Hydro Water Reservoir,484.18,
2024,,RS,Marine,n/e,
2024,,RS,Nuclear,n/e,
2024,,RS,Other,34.64,
2024,,RS,Other renewable,n/e,
2024,,RS,Solar,29.13,
2024,,RS,Waste,32.4,
2024,,RS,Wind Offshore,n/e,
2024,,RS,Wind Onshore,645.62,
2024,,RS,,,10540.67
2025,,RS,Biomass,2.38,
2025,,RS,Energy storage,n/e,
2025,,RS,Fossil Brown coal/Lignite,6120.5,
2025,,RS,Fossil Coal-derived gas,n/e,
2025,,RS,Fossil Gas,608.71,
2025,,RS,Fossil Hard coal,n/e,
2025,,RS,Fossil Oil,n/e,
2025,,RS,Fossil Oil shale,n/e,
2025,,RS,Fossil Peat,n/e,
2025,,RS,Geothermal,n/e,
2025,,RS,Hydro Pumped Storage,642,
2025,,RS,Hydro Run-of-river and pondage,2055.26,
2025,,RS,Hydro Water Reservoir,484.18,
2025,,RS,Marine,n/e,
2025,,RS,Nuclear,n/e,
2025,,RS,Other,32.89,
2025,,RS,Other renewable,n/e,
2025,,RS,Solar,72.87,
2025,,RS,Waste,32.4,
2025,,RS,Wind Offshore,n/e,
2025,,RS,Wind Onshore,740.22,
2025,,RS,,,10791.41
2023,,GR,Biomass,127,
2023,,GR,Energy storage,n/e,
2023,,GR,Fossil Brown coal/Lignite,2650,
2023,,GR,Fossil Coal-derived gas,n/e,
2023,,GR,Fossil Gas,6030,
2023,,GR,Fossil Hard coal,n/e,
2023,,GR,Fossil Oil,0,
2023,,GR,Fossil Oil shale,n/e,
2023,,GR,Fossil Peat,n/e,
2023,,GR,Geothermal,0,
2023,,GR,Hydro Pumped Storage,699,
2023,,GR,Hydro Run-of-river and pondage,321,
2023,,GR,Hydro Water Reservoir,2403,
2023,,GR,Marine,n/e,
2023,,GR,Nuclear,n/e,
2023,,GR,Other,n/e,
2023,,GR,Other renewable,120,
2023,,GR,Solar,5100,
2023,,GR,Waste,n/e,
2023,,GR,Wind Offshore,n/e,
2023,,GR,Wind Onshore,4547,
2023,,GR,,,21997
2024,,GR,Biomass,120,
2024,,GR,Energy storage,n/e,
2024,,GR,Fossil Brown coal/Lignite,2650,
2024,,GR,Fossil Coal-derived gas,n/e,
2024,,GR,Fossil Gas,6030,
2024,,GR,Fossil Hard coal,n/e,
2024,,GR,Fossil Oil,0,
2024,,GR,Fossil Oil shale,n/e,
2024,,GR,Fossil Peat,n/e,
2024,,GR,Geothermal,0,
2024,,GR,Hydro Pumped Storage,699,
2024,,GR,Hydro Run-of-river and pondage,327,
2024,,GR,Hydro Water Reservoir,2403,
2024,,GR,Marine,n/e,
2024,,GR,Nuclear,n/e,
2024,,GR,Other,n/e,
2024,,GR,Other renewable,128,
2024,,GR,Solar,6700,
2024,,GR,Waste,n/e,
2024,,GR,Wind Offshore,n/e,
2024,,GR,Wind Onshore,5065,
2024,,GR,,,24122
2025,,GR,Biomass,146,
2025,,GR,Energy storage,n/e,
2025,,GR,Fossil Brown coal/Lignite,1800,
2025,,GR,Fossil Coal-derived gas,n/e,
2025,,GR,Fossil Gas,6030,
2025,,GR,Fossil Hard coal,n/e,
2025,,GR,Fossil Oil,0,
2025,,GR,Fossil Oil shale,n/e,
2025,,GR,Fossil Peat,n/e,
2025,,GR,Geothermal,0,
2025,,GR,Hydro Pumped Storage,699,
2025,,GR,Hydro Run-of-river and pondage,305,
2025,,GR,Hydro Water Reservoir,2403,
2025,,GR,Marine,n/e,
2025,,GR,Nuclear,n/e,
2025,,GR,Other,n/e,
2025,,GR,Other renewable,132,
2025,,GR,Solar,9000,
2025,,GR,Waste,n/e,
2025,,GR,Wind Offshore,n/e,
2025,,GR,Wind Onshore,5225,
2025,,GR,,,25740
