Date,AT,BG,DE,ES,FR,GR,HR,HU,IT,PL,RO,SK
2024/1/1 0:00,0.0,0.01,2.2375,28.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 1:00,0.0,0.01,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 2:00,0.0,0.01,1.3825,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 3:00,0.0,0.01,1.58,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 4:00,0.0,0.05,0.67,28.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 5:00,0.0,0.04,1.5425,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 6:00,0.0,0.78,0.82,28.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0
2024/1/1 7:00,0.0,115.47,1.23,28.0,0.0,280.0,1.6,1.1225,81.0,20.9,37.25,0.4
2024/1/1 8:00,17.0,549.42,422.7425,34.0,246.0,1354.0,5.1,49.775,837.0,152.7,160.75,1.3
2024/1/1 9:00,184.0,984.18,483.73,657.0,318.0,2273.0,9.3,198.02,2288.0,329.04,306.0,7.2
2024/1/1 10:00,233.0,1139.96,3210.0925,3458.0,933.0,2819.0,15.6,462.25,3551.0,552.8,372.0,22.1
2024/1/1 11:00,334.0,1126.39,4128.435,6917.0,2454.0,2944.0,20.3,707.1375,3807.0,781.86,343.0,61.6
2024/1/1 12:00,753.0,1067.58,0.0,8880.0,4021.0,2692.0,23.1,886.4,3689.0,915.56,302.0,119.4
2024/1/1 13:00,519.0,826.89,1422.4975,9761.0,4883.0,2297.0,19.8,941.4425,3054.0,888.96,225.0,94.6
2024/1/1 14:00,332.0,455.18,1309.2975,10342.0,4926.0,1473.0,14.0,522.8275,2196.0,560.86,129.25,52.9
2024/1/1 15:00,124.0,88.31,565.225,10887.0,4188.0,355.0,7.2,101.69,1103.0,242.26,27.25,12.1
2024/1/1 16:00,21.0,0.33,5.415,8508.0,2703.0,8.0,2.0,0.435,116.0,20.3,0.25,0.1
2024/1/1 17:00,0.0,0.07,4.7575,3519.0,971.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0
2024/1/1 18:00,0.0,0.07,2.69,418.0,257.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
2024/1/1 19:00,0.0,0.07,4.355,120.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2024/1/1 20:00,0.0,0.02,1.715,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 21:00,0.0,0.01,2.975,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 22:00,0.0,0.01,1.2575,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/1/1 23:00,0.0,0.01,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
